Epoch,Train_Acc,Val_Acc,Train_Loss,Val_Loss
0,0.8072324,0.8142144680023193,0.4834781005637154,0.3408776154329567
1,0.8174976,0.825080156326294,0.35168719011375693,0.3225891632586983
2,0.82177293,0.8124331831932068,0.3416111644476645,0.32481442084506096
3,0.8179207,0.8265942335128784,0.3369009101768303,0.31378273739694146
4,0.8191454,0.8248129487037659,0.3311688026423317,0.3259318372852487
5,0.82386607,0.8309583067893982,0.33024051990393616,0.30420296968070054
6,0.8286312,0.8363021016120911,0.3155912846826531,0.295553826440642
7,0.8305907,0.8385286927223206,0.3103882208924093,0.2910764429931926
8,0.83339643,0.8420021533966064,0.30522408789269007,0.28764005904100864
9,0.8325503,0.8420912027359009,0.30181467029958065,0.2808279254213958
10,0.83740455,0.83933025598526,0.295359458087237,0.27939506138946646
11,0.8368256,0.8414677381515503,0.29247027692578936,0.27513236877626907
12,0.83687013,0.8421802520751953,0.29133996056716427,0.2799883587932859
13,0.83934176,0.8446740508079529,0.28851268259434015,0.27002767902657276
14,0.8397203,0.8452974557876587,0.28019037041169015,0.2699601534829685
15,0.8374268,0.8450303077697754,0.28365011816140623,0.2737080526704418
16,0.8394531,0.8486818671226501,0.28077919512543176,0.2700135066155059
17,0.8419248,0.8461881279945374,0.27686022275363614,0.2607065445913044
18,0.84119,0.8452974557876587,0.27373131850035526,0.26557370826023347
19,0.8446637,0.8522443771362305,0.2739683073855569,0.26103029209267087
20,0.84377295,0.8473459482192993,0.2715107757538353,0.2618248565344782
21,0.84455234,0.8498396873474121,0.26799579288256126,0.25969692435093017
22,0.8459106,0.8523334264755249,0.2644151456111732,0.253495162556636
23,0.8461778,0.8526896834373474,0.26211888421054047,0.25634360412154966
24,0.8455989,0.8527787923812866,0.2611666420553577,0.25266073240178905
25,0.8453762,0.8513537645339966,0.26221581037418434,0.2517305933732684
26,0.8479147,0.8531350493431091,0.25758900345347313,0.25356607261738573
27,0.8481151,0.8504631519317627,0.2563437387088743,0.2473536359221221
28,0.8498074,0.8522443771362305,0.2532344972599686,0.25423556358673244
29,0.8484268,0.8550053238868713,0.25457877500169396,0.24726277032928787
30,0.8485604,0.8542928099632263,0.25228866673643485,0.24778769210134913
31,0.85043085,0.8759351372718811,0.2512028574593153,0.24879696017637515
32,0.860028,0.8736194968223572,0.2499019258838662,0.2510197973459439
33,0.8609633,0.8798539638519287,0.24892976716989962,0.24503682925368186
34,0.85637623,0.8562522530555725,0.24802382507962936,0.2444560880078342
35,0.85815763,0.883861780166626,0.2453610104315399,0.2417222618483376
36,0.8612528,0.8754898309707642,0.24481742164854742,0.24509691426581576
37,0.86459285,0.8820804953575134,0.2437567202931652,0.24570289561023992
38,0.8674208,0.8848414421081543,0.2405322991128558,0.24129178759080896
39,0.8644815,0.8816351890563965,0.24354089320962852,0.24412866332775596
40,0.86828923,0.8820804953575134,0.23893532383668617,0.2398043500546845
41,0.86657465,0.8774492144584656,0.23851288886962577,0.24875931534683912
42,0.8647264,0.8756679892539978,0.24128650862335954,0.2420261877635046
43,0.8683783,0.8844852447509766,0.23500448808370303,0.23831001951319067
44,0.8685787,0.8868008255958557,0.23510647674639618,0.23707276122464715
45,0.8692467,0.8817242383956909,0.23192633057185322,0.2405917708681366
46,0.86882365,0.8796758055686951,0.22933599414287434,0.2401255465855495
47,0.86581755,0.8853758573532104,0.2326289009362663,0.23628213860978425
48,0.86804426,0.8854649066925049,0.22893959984009776,0.23602496029156828
49,0.8704491,0.8917883634567261,0.22927079815962936,0.2330889354344148
50,0.86949164,0.8737086057662964,0.22646406323209406,0.24126354110996878
51,0.8637244,0.870591402053833,0.22890169468705163,0.2338220702877748
52,0.87323254,0.8870680332183838,0.22216730043446337,0.23940442183984315
53,0.8743459,0.8888493180274963,0.21965002408260498,0.2367623010839395
54,0.87009287,0.8935696482658386,0.2222168905798086,0.241163698270901
